index,supermarket,department,nom_drive,nom_driveUrl,city,adresse,latitude,longitude,lien_drive,lien_coord
65,Leclerc,42,Leclerc Riorges  Roanne,Leclerc_Riorges__Roanne, 42153 Riorges , 704 avenue Charles de Gaulle 42153 Riorges ,46.056407,4.06256,https://fd16-courses.leclercdrive.fr/magasin-034201-034201-riorges-roanne.aspx,http://maps.google.fr/maps?q=46.056407,4.06256
66,Leclerc,42,Leclerc Saint-Etienne,Leclerc_Saint-Etienne, 42000 Saint-Etienne , 1 rue du Serment du Jeu de Paume 42000 Saint-Etienne ,45.451248,4.407764,https://fd8-courses.leclercdrive.fr/magasin-054211-054211-saint-etienne.aspx,http://maps.google.fr/maps?q=45.451248,4.407764
67,Leclerc,43,Leclerc Brives Charensac,Leclerc_Brives_Charensac, 43700 Brives Charensac , Avenue Charles Dupuy 43700 Brives Charensac ,45.051703,3.911787,https://fd3-courses.leclercdrive.fr/magasin-064211-064211-brives-charensac.aspx,http://maps.google.fr/maps?q=45.051703,3.911787
68,Leclerc,63,Leclerc Enval  Volvic,Leclerc_Enval__Volvic, 63200 Malauzat , Impasse des Gardelles 63200 Malauzat ,45.8867,3.06988,https://fd16-courses.leclercdrive.fr/magasin-036301-036301-enval-volvic.aspx,http://maps.google.fr/maps?q=45.8867,3.06988
69,Leclerc,63,Leclerc Thiers,Leclerc_Thiers, 63300 Thiers , Avenue Léo Lagrange 63300 Thiers ,45.849,3.53624,https://fd13-courses.leclercdrive.fr/magasin-056301-056301-thiers.aspx,http://maps.google.fr/maps?q=45.849,3.53624
70,Leclerc,69,Leclerc Ampuis,Leclerc_Ampuis, 69420 Ampuis , 27 route de la Taquière 69420 Ampuis ,45.48767,4.803246,https://fd5-courses.leclercdrive.fr/magasin-093803-093803-ampuis.aspx,http://maps.google.fr/maps?q=45.48767,4.803246
71,Leclerc,69,Leclerc Brignais,Leclerc_Brignais, 69530 Brignais , RD 342 69530 Brignais ,45.6775,4.76917,https://fd8-courses.leclercdrive.fr/magasin-226911-226911-brignais.aspx,http://maps.google.fr/maps?q=45.6775,4.76917
72,Leclerc,69,Leclerc Craponne,Leclerc_Craponne, 69290 Craponne , 79 rue de l'Est 69290 Craponne ,45.748375,4.747939,https://fd8-courses.leclercdrive.fr/magasin-226901-226901-craponne.aspx,http://maps.google.fr/maps?q=45.748375,4.747939
73,Leclerc,69,Leclerc Genay,Leclerc_Genay, 69730 Genay , 1262 Route de Trévoux 69730 Genay ,45.8956759,4.820851,https://fd7-courses.leclercdrive.fr/magasin-166901-166901-genay.aspx,http://maps.google.fr/maps?q=45.8956759,4.820851
74,Leclerc,69,Leclerc Limas,Leclerc_Limas, 69400 Limas , 1106 route d'Anse 69400 Limas ,45.968953,4.716746,https://fd6-courses.leclercdrive.fr/magasin-196901-196901-limas.aspx,http://maps.google.fr/maps?q=45.968953,4.716746
