,supermarket,department,nom_drive,nom_driveUrl,city,adresse,latitude,longitude,lien_drive,lien_coord
133,Casino,42,Supermarché Casino Saint-Etienne Bergson,Supermarche_Casino_Saint-Etienne_Bergson,42218 ST ETIENNE,60 RUE BERGSON 42218 ST ETIENNE,45.4536393,4.38344973,http://www.casino.fr/ecommerce/GC-catalog/fr/WE42264/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=45.4536393%2C4.38344973&hl=fr
134,Casino,42,Supermarché Casino Saint-Galmier,Supermarche_Casino_Saint-Galmier,42222 ST GALMIER,RUE DE LA RICHELANDE 42222 ST GALMIER,45.58438806,4.31198872,http://www.casino.fr/ecommerce/GC-catalog/fr/WE42766/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=45.58438806%2C4.31198872&hl=fr
135,Casino,42,Supermarché Casino Saint-Just-Saint-Rambert,Supermarche_Casino_Saint-Just-Saint-Rambert,42279 ST JUST ST RAMBERT,146 ROUTE DE BONSON 42279 ST JUST ST RAMBERT,45.50627241,4.24583323,http://www.casino.fr/ecommerce/GC-catalog/fr/WE42233/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=45.50627241%2C4.24583323&hl=fr
136,Casino,42,Supermarché Casino SAINT-ETIENNE Ratarieux,Supermarche_Casino_SAINT-ETIENNE_Ratarieux,42270 ST PRIEST EN JAREZ,RATARIEUX 42270 ST PRIEST EN JAREZ,45.478974,4.357521,http://www.casino.fr/ecommerce/GC-catalog/fr/WE42952/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=45.478974%2C4.357521&hl=fr
137,Casino,43,Supermarché Casino Aurec-Sur-Loire,Supermarche_Casino_Aurec-Sur-Loire,43012 AUREC SUR LOIRE,ROUTE DE FIRMINY 43012 AUREC SUR LOIRE,45.37700559,4.21729088,http://www.casino.fr/ecommerce/GC-catalog/fr/WE43504/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=45.37700559%2C4.21729088&hl=fr
138,Casino,43,Supermarché Casino Chaspuzac,Supermarche_Casino_Chaspuzac,43062 CHASPUZAC,11 RUE DE L AVIATION 43062 CHASPUZAC,45.0730896,3.76067853,http://www.casino.fr/ecommerce/GC-catalog/fr/WE43463/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=45.0730896%2C3.76067853&hl=fr
140,Casino,46,Supermarché Casino CAHORS,Supermarche_Casino_CAHORS,46042 CAHORS,PLACE EMILIEN IMBERT 46042 CAHORS,44.444456,1.441196,http://www.casino.fr/ecommerce/GC-catalog/fr/WE46718/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=44.444456%2C1.441196&hl=fr
142,Casino,47,Supermarché Casino LE PASSAGE D'AGEN,Supermarche_Casino_LE_PASSAGE_D_AGEN,47520 LE PASSAGE,LIEU DIT LACASSAGNE 47520 LE PASSAGE,44.194759,0.598583,http://www.casino.fr/ecommerce/GC-catalog/fr/WE47592/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=44.194759%2C0.598583&hl=fr
143,Casino,47,Supermarché Casino Monflanquin,Supermarche_Casino_Monflanquin,47175 MONFLANQUIN,ROUTE DE VILLENEUVE SUR LOT 47175 MONFLANQUIN,44.529571,0.766511,http://www.casino.fr/ecommerce/GC-catalog/fr/WE47706/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=44.529571%2C0.766511&hl=fr
146,Casino,50,Supermarché Casino Donville-Les-Bains,Supermarche_Casino_Donville-Les-Bains,50165 DONVILLE LES BAINS,RUE DE LA GARE 50165 DONVILLE LES BAINS,48.8432468,-1.5863616,http://www.casino.fr/ecommerce/GC-catalog/fr/WEDXGPV/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=48.8432468%2C-1.5863616&hl=fr
147,Casino,50,Supermarché Casino Portbail,Supermarche_Casino_Portbail,50412 PORT BAIL SUR MER,13 RUE DU PERE ALBERT 50412 PORT BAIL SUR MER,49.33506588,-1.68928163,http://www.casino.fr/ecommerce/GC-catalog/fr/WEDXGTL/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=49.33506588%2C-1.68928163&hl=fr
148,Casino,50,Supermarché Casino SAINT-PAIR-SUR-MER,Supermarche_Casino_SAINT-PAIR-SUR-MER,50532 ST PAIR SUR MER,ROUTE DU CROISSANT 50532 ST PAIR SUR MER,48.813634,-1.546133,http://www.casino.fr/ecommerce/GC-catalog/fr/WEDXGPT/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=48.813634%2C-1.546133&hl=fr
149,Casino,50,Supermarché Casino VILLEDIEU-LES-POELES,Supermarche_Casino_VILLEDIEU-LES-POELES,50800 VILLEDIEU LES POELES,LE PRE DE LA CAVEE 50800 VILLEDIEU LES POELES,48.848204,-1.210729,http://www.casino.fr/ecommerce/GC-catalog/fr/WEDXGPU/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=48.848204%2C-1.210729&hl=fr
150,Casino,56,Supermarché Casino Le-Palais,Supermarche_Casino_Le-Palais,56152 LE PALAIS,ROUTE DE BANGOR 56152 LE PALAIS,47.34098394,-3.15851791,http://www.casino.fr/ecommerce/GC-catalog/fr/WE56181/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=47.34098394%2C-3.15851791&hl=fr
152,Casino,56,Supermarché Casino MALESTROIT,Supermarche_Casino_MALESTROIT,56124 MALESTROIT,RUE DE LA GARE 56124 MALESTROIT,47.808415,-2.39256,http://www.casino.fr/ecommerce/GC-catalog/fr/WE56778/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=47.808415%2C-2.39256&hl=fr
153,Casino,56,Supermarché Casino Quiberon,Supermarche_Casino_Quiberon,56186 QUIBERON,PORT HALIGUEN 56186 QUIBERON,47.48647194,-3.115473,http://www.casino.fr/ecommerce/GC-catalog/fr/WE56282/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=47.48647194%2C-3.115473&hl=fr
154,Casino,56,Supermarché Casino SARZEAU,Supermarche_Casino_SARZEAU,56240 SARZEAU,RUE ADRIEN REGENT 56240 SARZEAU,47.5276065,-2.7558668,http://www.casino.fr/ecommerce/GC-catalog/fr/WE56251/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=47.5276065%2C-2.7558668&hl=fr
156,Casino,62,Supermarché Casino LAVENTIE,Supermarche_Casino_LAVENTIE,62491 LAVENTIE,57 59 RUE ROBERT PARFAIT 62491 LAVENTIE,50.6258841,2.7725309,http://www.casino.fr/ecommerce/GC-catalog/fr/WE62840/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=50.6258841%2C2.7725309&hl=fr
158,Casino,64,Supermarché Casino Orthez,Supermarche_Casino_Orthez,64430 ORTHEZ,AVENUE DU 8 MAI 1945 64430 ORTHEZ,43.490259,-0.783871,http://www.casino.fr/ecommerce/GC-catalog/fr/WE64124/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.490259%2C-0.783871&hl=fr
161,Casino,69,Supermarché Casino Bron Roosevelt,Supermarche_Casino_Bron_Roosevelt,69029 BRON,142 144 AVENUE FRANKLIN ROOSEVELT 69029 BRON,45.73347028,4.90834772,http://www.casino.fr/ecommerce/GC-catalog/fr/WE69784/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=45.73347028%2C4.90834772&hl=fr
162,Casino,69,Supermarché Casino Bron Route De Genas,Supermarche_Casino_Bron_Route_De_Genas,69029 BRON,269 ROUTE DE GENAS 69029 BRON,45.75071386,4.90888373,http://www.casino.fr/ecommerce/GC-catalog/fr/WE69960/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=45.75071386%2C4.90888373&hl=fr
163,Casino,69,Supermarché Casino LYON Bachut,Supermarche_Casino_LYON_Bachut,69388 LYON,321 AVENUE BERTHELOT 69388 LYON,45.737058,4.867592,http://www.casino.fr/ecommerce/GC-catalog/fr/WE69713/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=45.737058%2C4.867592&hl=fr
